fips,year,month,total_deaths,sex_1,sex_2
11030,2018,7,5,3,2
11030,2018,8,8,5,3
11030,2018,9,3,3,0
11030,2018,10,5,3,2
11030,2018,11,1,1,0
11030,2018,12,3,1,2
11030,2019,1,1,0,1
11030,2019,3,2,1,1
11030,2019,4,2,1,1
11030,2019,5,4,3,1
11030,2019,6,6,2,4
11030,2019,7,2,2,0
11030,2019,8,5,4,1
11030,2019,9,5,5,0
11030,2019,10,3,3,0
11030,2019,11,6,3,3
11030,2019,12,4,3,1
11030,2020,1,1,1,0
11030,2020,3,5,4,1
11030,2020,4,5,3,2
11030,2020,5,6,3,3
11030,2020,6,6,5,1
11030,2020,7,2,2,0
11030,2020,8,6,4,2
11030,2020,9,4,2,2
11030,2020,10,5,3,2
11030,2020,11,5,3,2
11030,2020,12,5,1,4
11030,2021,1,7,5,2
11030,2021,2,7,5,2
11030,2021,3,5,4,1
11030,2021,4,8,5,3
11030,2021,5,5,4,1
11030,2021,6,2,1,1
11030,2021,7,5,4,1
11030,2021,8,5,5,0
11030,2021,9,6,5,1
11030,2021,10,4,2,2
11030,2021,11,2,1,1
11030,2021,12,2,2,0
11030,2022,1,3,3,0
11030,2022,2,2,2,0
11030,2022,3,2,1,1
11030,2022,4,4,4,0
11030,2022,5,5,2,3
11030,2022,6,7,2,5
11030,2022,7,3,3,0
11030,2022,8,1,1,0
11030,2022,9,4,2,2
11030,2022,10,2,2,0
11030,2022,11,4,3,1
11030,2022,12,3,2,1
11030,2023,1,1,0,1
11030,2023,2,3,2,1
11030,2023,3,2,2,0
11030,2023,4,2,1,1
11030,2023,5,5,2,3
11030,2023,6,5,4,1
11030,2023,7,4,3,1
11030,2023,8,4,3,1
11030,2023,9,5,1,4
11030,2023,10,7,6,1
11030,2023,11,5,3,2
11030,2023,12,3,2,1
11030,2024,1,8,4,4
11030,2024,2,6,5,1
11030,2024,3,4,4,0
11030,2024,5,3,1,2
11030,2024,6,4,3,1
11030,2024,7,6,6,0
11030,2024,8,3,3,0
11030,2024,9,2,2,0
11030,2024,10,2,1,1
11030,2024,11,2,1,1
11030,2024,12,3,3,0
11040,1997,1,3,2,1
11040,1997,2,5,3,2
11040,1997,3,3,2,1
11040,1997,5,3,3,0
11040,1997,6,3,1,2
11040,1997,7,4,2,2
11040,1997,9,6,4,2
11040,1997,10,4,3,1
11040,1997,12,1,1,0
11040,1998,1,1,1,0
11040,1998,2,4,2,2
11040,1998,3,6,4,2
11040,1998,4,2,2,0
11040,1998,5,4,4,0
11040,1998,6,8,6,2
11040,1998,7,3,1,2
11040,1998,8,8,7,1
11040,1998,9,4,3,1
11040,1998,10,5,4,1
11040,1998,11,7,5,2
